Jurisdiction,Active,Recovered,Deaths,Date,Active and Recovered,Total staff cases as at 13 Sep 2022,Total staff cases as at 20 Sep 2022,Total staff cases as at 21 Sep 2022,Total staff cases as at 28 Sep 2022,Total staff cases as at 05 Oct 2022,Total staff cases as at 12 Oct 2022,Total staff cases as at 19 Oct 2022,Total staff cases as at 26 Oct 2022,Total staff cases as at 02 Nov 2022,Total staff cases as at 09 Nov 2022,Total staff cases as at 16 Nov 2022,Total staff cases as at 23 Nov 2022,Total staff cases as at 30 Nov 2022
ACT,11.0,0.0,4.0,2021-10-06,,,,,,,,,,,,,,
VIC,45.0,1336.0,664.0,2021-10-06,,,,,,,,,,,,,,
TAS,0.0,0.0,1.0,2021-10-06,,,,,,,,,,,,,,
SA,0.0,0.0,0.0,2021-10-06,,,,,,,,,,,,,,
QLD,0.0,0.0,1.0,2021-10-06,,,,,,,,,,,,,,
NT,0.0,0.0,0.0,2021-10-06,,,,,,,,,,,,,,
NSW,286.0,69.0,65.0,2021-10-06,,,,,,,,,,,,,,
WA,0.0,0.0,0.0,2021-10-06,,,,,,,,,,,,,,
Australia,342.0,1405.0,735.0,2021-10-06,,,,,,,,,,,,,,
VIC,50.0,1336.0,666.0,2021-10-07,,,,,,,,,,,,,,
TAS,0.0,0.0,1.0,2021-10-07,,,,,,,,,,,,,,
SA,0.0,0.0,0.0,2021-10-07,,,,,,,,,,,,,,
QLD,0.0,0.0,1.0,2021-10-07,,,,,,,,,,,,,,
NSW,282.0,69.0,69.0,2021-10-07,,,,,,,,,,,,,,
ACT,10.0,0.0,5.0,2021-10-07,,,,,,,,,,,,,,
Australia,342.0,1405.0,742.0,2021-10-07,,,,,,,,,,,,,,
NT,0.0,0.0,0.0,2021-10-07,,,,,,,,,,,,,,
WA,0.0,0.0,0.0,2021-10-07,,,,,,,,,,,,,,
VIC,52.0,1336.0,667.0,2021-10-08,,,,,,,,,,,,,,
TAS,0.0,0.0,1.0,2021-10-08,,,,,,,,,,,,,,
SA,0.0,0.0,0.0,2021-10-08,,,,,,,,,,,,,,
QLD,0.0,0.0,1.0,2021-10-08,,,,,,,,,,,,,,
NT,0.0,0.0,0.0,2021-10-08,,,,,,,,,,,,,,
NSW,275.0,81.0,70.0,2021-10-08,,,,,,,,,,,,,,
ACT,0.0,0.0,0.0,2021-10-08,,,,,,,,,,,,,,
Australia,337.0,1417.0,744.0,2021-10-08,,,,,,,,,,,,,,
WA,0.0,0.0,0.0,2021-10-08,,,,,,,,,,,,,,
QLD,0.0,0.0,1.0,2021-10-09,,,,,,,,,,,,,,
NT,0.0,0.0,0.0,2021-10-09,,,,,,,,,,,,,,
NSW,275.0,81.0,70.0,2021-10-09,,,,,,,,,,,,,,
ACT,0.0,0.0,0.0,2021-10-09,,,,,,,,,,,,,,
