Age Group,Male,Female,Date,Unnamed: 0,Hospitalisations,ICU
0-9,7018.0,6641.0,2021-10-06,,,
90+,309.0,713.0,2021-10-06,,,
70-79,1892.0,1750.0,2021-10-06,,,
60-69,3501.0,3258.0,2021-10-06,,,
50-59,5920.0,5392.0,2021-10-06,,,
80-89,979.0,1278.0,2021-10-06,,,
30-39,10782.0,9562.0,2021-10-06,,,
20-29,12962.0,11919.0,2021-10-06,,,
10-19,8548.0,7909.0,2021-10-06,,,
40-49,7472.0,6823.0,2021-10-06,,,
60-69,3630.0,3402.0,2021-10-07,,,
0-9,7385.0,6999.0,2021-10-07,,,
10-19,9049.0,8335.0,2021-10-07,,,
20-29,13619.0,12513.0,2021-10-07,,,
30-39,11323.0,9983.0,2021-10-07,,,
40-49,7828.0,7163.0,2021-10-07,,,
50-59,6195.0,5634.0,2021-10-07,,,
70-79,1956.0,1815.0,2021-10-07,,,
80-89,1012.0,1308.0,2021-10-07,,,
90+,311.0,719.0,2021-10-07,,,
80-89,1026.0,1329.0,2021-10-08,,,
70-79,1991.0,1847.0,2021-10-08,,,
60-69,3705.0,3466.0,2021-10-08,,,
50-59,6313.0,5756.0,2021-10-08,,,
40-49,7993.0,7314.0,2021-10-08,,,
30-39,11554.0,10204.0,2021-10-08,,,
20-29,13926.0,12792.0,2021-10-08,,,
10-19,9260.0,8554.0,2021-10-08,,,
0-9,7569.0,7178.0,2021-10-08,,,
90+,316.0,721.0,2021-10-08,,,
70-79,1991.0,1847.0,2021-10-09,,,
60-69,3705.0,3466.0,2021-10-09,,,
50-59,6313.0,5756.0,2021-10-09,,,
40-49,7993.0,7314.0,2021-10-09,,,
90+,316.0,721.0,2021-10-09,,,
20-29,13926.0,12792.0,2021-10-09,,,
10-19,9260.0,8554.0,2021-10-09,,,
0-9,7569.0,7178.0,2021-10-09,,,
30-39,11554.0,10204.0,2021-10-09,,,
80-89,1026.0,1329.0,2021-10-09,,,
90+,316.0,721.0,2021-10-10,,,
10-19,9260.0,8554.0,2021-10-10,,,
20-29,13926.0,12792.0,2021-10-10,,,
30-39,11554.0,10204.0,2021-10-10,,,
40-49,7993.0,7314.0,2021-10-10,,,
50-59,6313.0,5756.0,2021-10-10,,,
60-69,3705.0,3466.0,2021-10-10,,,
70-79,1991.0,1847.0,2021-10-10,,,
80-89,1026.0,1329.0,2021-10-10,,,
0-9,7569.0,7178.0,2021-10-10,,,
20-29,14635.0,13471.0,2021-10-11,,,
30-39,12161.0,10763.0,2021-10-11,,,
40-49,8415.0,7695.0,2021-10-11,,,
10-19,9803.0,9107.0,2021-10-11,,,
60-69,3889.0,3634.0,2021-10-11,,,
70-79,2073.0,1932.0,2021-10-11,,,
