Age Group,Male,Female,Date,Jurisdiction,7-day rolling average of COVID-19 hospitalisations as at 20 Sep 2022,7-day rolling average COVID-19 ICU cases as at 20 Sep 2022,7-day rolling average of COVID-19 hospitalisations as at 27 Sep 2022,7-day rolling average COVID-19 ICU cases as at 27 Sep 2022,7-day rolling average of COVID-19 hospitalisations as at 04 Oct 2022,7-day rolling average COVID-19 ICU cases as at 04 Oct 2022,7-day rolling average of COVID-19 hospitalisations as at 11 Oct 2022,7-day rolling average COVID-19 ICU cases as at 11 Oct 2022,7-day rolling average of COVID-19 hospitalisations as at 18 Oct 2022,7-day rolling average COVID-19 ICU cases as at 18 Oct 2022,7-day rolling average of COVID-19 hospitalisations as at 25 Oct 2022,7-day rolling average COVID-19 ICU cases as at 25 Oct 2022,7-day rolling average of COVID-19 hospitalisations as at 01 Nov 2022,7-day rolling average COVID-19 ICU cases as at 01 Nov 2022,7-day rolling average of COVID-19 hospitalisations as at 08 Nov 2022,7-day rolling average COVID-19 ICU cases as at 08 Nov 2022
60-69,78.0,33.0,2021-10-06,,,,,,,,,,,,,,,,,
20-29,5.0,2.0,2021-10-06,,,,,,,,,,,,,,,,,
30-39,6.0,4.0,2021-10-06,,,,,,,,,,,,,,,,,
40-49,13.0,9.0,2021-10-06,,,,,,,,,,,,,,,,,
50-59,31.0,28.0,2021-10-06,,,,,,,,,,,,,,,,,
70-79,166.0,96.0,2021-10-06,,,,,,,,,,,,,,,,,
90+,140.0,223.0,2021-10-06,,,,,,,,,,,,,,,,,
0-9,0.0,0.0,2021-10-06,,,,,,,,,,,,,,,,,
80-89,260.0,255.0,2021-10-06,,,,,,,,,,,,,,,,,
10-19,1.0,0.0,2021-10-06,,,,,,,,,,,,,,,,,
30-39,6.0,4.0,2021-10-07,,,,,,,,,,,,,,,,,
20-29,6.0,2.0,2021-10-07,,,,,,,,,,,,,,,,,
10-19,1.0,0.0,2021-10-07,,,,,,,,,,,,,,,,,
0-9,0.0,0.0,2021-10-07,,,,,,,,,,,,,,,,,
60-69,82.0,35.0,2021-10-07,,,,,,,,,,,,,,,,,
70-79,175.0,104.0,2021-10-07,,,,,,,,,,,,,,,,,
80-89,266.0,259.0,2021-10-07,,,,,,,,,,,,,,,,,
40-49,14.0,9.0,2021-10-07,,,,,,,,,,,,,,,,,
90+,140.0,227.0,2021-10-07,,,,,,,,,,,,,,,,,
50-59,34.0,28.0,2021-10-07,,,,,,,,,,,,,,,,,
20-29,6.0,2.0,2021-10-08,,,,,,,,,,,,,,,,,
