Jurisdiction,Not in ICU,ICU,Date,Active outbreaks in aged care homes as at 13 Sep 2022,Active outbreaks in aged care homes as at 20 Sep 2022,Active outbreaks in aged care homes as at 21 Sep 2022,Active outbreaks in aged care homes as at 28 Sep 2022,Active outbreaks in aged care homes as at 05 Oct 2022,Active outbreaks in aged care homes as at 12 Oct 2022,Active outbreaks in aged care homes as at 19 Oct 2022,Active outbreaks in aged care homes as at 26 Oct 2022,Active outbreaks in aged care homes as at 02 Nov 2022,Active outbreaks in aged care homes as at 09 Nov 2022,Active outbreaks in aged care homes as at 16 Nov 2022
Australia,1237.0,298.0,2021-10-06,,,,,,,,,,,
VIC,416.0,101.0,2021-10-06,,,,,,,,,,,
WA,2.0,2.0,2021-10-06,,,,,,,,,,,
QLD,16.0,0.0,2021-10-06,,,,,,,,,,,
NT,6.0,0.0,2021-10-06,,,,,,,,,,,
NSW,788.0,190.0,2021-10-06,,,,,,,,,,,
ACT,9.0,5.0,2021-10-06,,,,,,,,,,,
TAS,0.0,0.0,2021-10-06,,,,,,,,,,,
SA,0.0,0.0,2021-10-06,,,,,,,,,,,
WA,3.0,3.0,2021-10-07,,,,,,,,,,,
Australia,1214.0,306.0,2021-10-07,,,,,,,,,,,
ACT,8.0,7.0,2021-10-07,,,,,,,,,,,
NSW,730.0,181.0,2021-10-07,,,,,,,,,,,
TAS,0.0,0.0,2021-10-07,,,,,,,,,,,
SA,0.0,0.0,2021-10-07,,,,,,,,,,,
QLD,17.0,0.0,2021-10-07,,,,,,,,,,,
NT,7.0,0.0,2021-10-07,,,,,,,,,,,
VIC,449.0,115.0,2021-10-07,,,,,,,,,,,
WA,3.0,3.0,2021-10-08,,,,,,,,,,,
TAS,0.0,0.0,2021-10-08,,,,,,,,,,,
SA,0.0,0.0,2021-10-08,,,,,,,,,,,
QLD,19.0,0.0,2021-10-08,,,,,,,,,,,
NT,5.0,0.0,2021-10-08,,,,,,,,,,,
Australia,1229.0,293.0,2021-10-08,,,,,,,,,,,
ACT,10.0,6.0,2021-10-08,,,,,,,,,,,
NSW,686.0,170.0,2021-10-08,,,,,,,,,,,
VIC,506.0,114.0,2021-10-08,,,,,,,,,,,
WA,2.0,2.0,2021-10-09,,,,,,,,,,,
VIC,461.0,117.0,2021-10-09,,,,,,,,,,,
TAS,0.0,0.0,2021-10-09,,,,,,,,,,,
SA,0.0,0.0,2021-10-09,,,,,,,,,,,
QLD,21.0,0.0,2021-10-09,,,,,,,,,,,
NSW,649.0,163.0,2021-10-09,,,,,,,,,,,
NT,5.0,0.0,2021-10-09,,,,,,,,,,,
Australia,1150.0,287.0,2021-10-09,,,,,,,,,,,
ACT,12.0,5.0,2021-10-09,,,,,,,,,,,
Australia,1153.0,293.0,2021-10-10,,,,,,,,,,,
WA,2.0,2.0,2021-10-10,,,,,,,,,,,
VIC,483.0,126.0,2021-10-10,,,,,,,,,,,
TAS,0.0,0.0,2021-10-10,,,,,,,,,,,
SA,0.0,0.0,2021-10-10,,,,,,,,,,,
QLD,19.0,0.0,2021-10-10,,,,,,,,,,,
NT,5.0,0.0,2021-10-10,,,,,,,,,,,
NSW,635.0,159.0,2021-10-10,,,,,,,,,,,
ACT,9.0,6.0,2021-10-10,,,,,,,,,,,
WA,2.0,2.0,2021-10-11,,,,,,,,,,,
TAS,0.0,0.0,2021-10-11,,,,,,,,,,,
SA,0.0,0.0,2021-10-11,,,,,,,,,,,
QLD,17.0,1.0,2021-10-11,,,,,,,,,,,
NT,6.0,0.0,2021-10-11,,,,,,,,,,,
NSW,616.0,153.0,2021-10-11,,,,,,,,,,,
ACT,11.0,7.0,2021-10-11,,,,,,,,,,,
Australia,1196.0,296.0,2021-10-11,,,,,,,,,,,
VIC,544.0,133.0,2021-10-11,,,,,,,,,,,
VIC,531.0,144.0,2021-10-12,,,,,,,,,,,
WA,1.0,1.0,2021-10-12,,,,,,,,,,,
NSW,611.0,155.0,2021-10-12,,,,,,,,,,,
Australia,1177.0,309.0,2021-10-12,,,,,,,,,,,
ACT,11.0,8.0,2021-10-12,,,,,,,,,,,
NT,7.0,0.0,2021-10-12,,,,,,,,,,,
QLD,16.0,1.0,2021-10-12,,,,,,,,,,,
SA,0.0,0.0,2021-10-12,,,,,,,,,,,
TAS,0.0,0.0,2021-10-12,,,,,,,,,,,
WA,1.0,1.0,2021-10-13,,,,,,,,,,,
VIC,531.0,144.0,2021-10-13,,,,,,,,,,,
NT,7.0,0.0,2021-10-13,,,,,,,,,,,
NSW,611.0,155.0,2021-10-13,,,,,,,,,,,
ACT,11.0,8.0,2021-10-13,,,,,,,,,,,
SA,0.0,0.0,2021-10-13,,,,,,,,,,,
Australia,1177.0,309.0,2021-10-13,,,,,,,,,,,
QLD,16.0,1.0,2021-10-13,,,,,,,,,,,
TAS,0.0,0.0,2021-10-13,,,,,,,,,,,
ACT,10.0,6.0,2021-10-14,,,,,,,,,,,
WA,0.0,1.0,2021-10-14,,,,,,,,,,,
NSW,568.0,143.0,2021-10-14,,,,,,,,,,,
NT,7.0,0.0,2021-10-14,,,,,,,,,,,
QLD,17.0,0.0,2021-10-14,,,,,,,,,,,
SA,0.0,0.0,2021-10-14,,,,,,,,,,,
TAS,0.0,0.0,2021-10-14,,,,,,,,,,,
Australia,1161.0,297.0,2021-10-14,,,,,,,,,,,
VIC,559.0,147.0,2021-10-14,,,,,,,,,,,
ACT,8.0,8.0,2021-10-15,,,,,,,,,,,
Australia,1103.0,311.0,2021-10-15,,,,,,,,,,,
NSW,532.0,145.0,2021-10-15,,,,,,,,,,,
