Jurisdiction,Active cases^,Locally acquired last 24 hours*,Overseas acquired last 24 hours,'Under investigation last 24 hours*',Locally acquired last 7 days,Overseas acquired last 7 days,Under investigation last 7 days,Date,Locally acquired last 24 hours,Under investigation last 24 hours,Active Cases^,Under investigation last 24 hours*,Average daily cases as at 20 Sep 2022,Change in average cases compared to previous week (%),Average daily cases as at 27 Sep 2022,Average daily cases as at 04 Oct 2022,Average daily cases as at 11 Oct 2022,Average daily cases as at 18 Oct 2022,Average daily cases as at 25 Oct 2022,Average daily cases as at 01 Nov 2022,Average daily cases as at 08 Nov 2022,Average daily cases as at 15 Nov 2022,Average daily cases as at 22 Nov 2022,Average daily cases as at 29 Nov 2022,Average daily cases as at 06 Dec 2022,Average daily cases as at 13 Dec 2022,Average daily cases as at 20 Dec 2022,Average daily cases as at 03 Jan 2023,Average daily cases as at 10 Jan 2023,Average daily cases as at 17 Jan 2023,Average daily cases as at 24 Jan 2023
VIC,14368.0,,0.0,,3049.0,0.0,6277.0,2021-10-06,523.0,1240.0,,,,,,,,,,,,,,,,,,,,,
Australia,23378.0,,1.0,,8571.0,31.0,6363.0,2021-10-06,1165.0,1242.0,,,,,,,,,,,,,,,,,,,,,
ACT,386.0,,0.0,,171.0,0.0,85.0,2021-10-06,31.0,2.0,,,,,,,,,,,,,,,,,,,,,
NSW,8571.0,,0.0,,5333.0,7.0,0.0,2021-10-06,608.0,0.0,,,,,,,,,,,,,,,,,,,,,
NT,6.0,,0.0,,0.0,2.0,0.0,2021-10-06,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
QLD,26.0,,0.0,,12.0,7.0,1.0,2021-10-06,2.0,0.0,,,,,,,,,,,,,,,,,,,,,
SA,4.0,,0.0,,5.0,1.0,0.0,2021-10-06,1.0,0.0,,,,,,,,,,,,,,,,,,,,,
TAS,1.0,,0.0,,1.0,0.0,0.0,2021-10-06,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
WA,16.0,,1.0,,0.0,14.0,0.0,2021-10-06,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
Australia,23401.0,,7.0,,8155.0,35.0,6827.0,2021-10-07,1150.0,1116.0,,,,,,,,,,,,,,,,,,,,,
ACT,407.0,,0.0,,180.0,0.0,92.0,2021-10-07,17.0,24.0,,,,,,,,,,,,,,,,,,,,,
NSW,7868.0,,0.0,,4705.0,3.0,0.0,2021-10-07,587.0,0.0,,,,,,,,,,,,,,,,,,,,,
NT,7.0,,1.0,,0.0,2.0,0.0,2021-10-07,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
WA,15.0,,0.0,,0.0,14.0,0.0,2021-10-07,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
SA,3.0,,0.0,,5.0,1.0,0.0,2021-10-07,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
TAS,1.0,,0.0,,1.0,0.0,0.0,2021-10-07,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
VIC,15074.0,,0.0,,3258.0,0.0,6735.0,2021-10-07,546.0,1092.0,,,,,,,,,,,,,,,,,,,,,
QLD,26.0,,6.0,,6.0,15.0,0.0,2021-10-07,0.0,0.0,,,,,,,,,,,,,,,,,,,,,
ACT,430.0,21.0,0.0,19.0,161.0,0.0,99.0,2021-10-08,,,,,,,,,,,,,,,,,,,,,,,
NSW,7604.0,646.0,2.0,0.0,4495.0,4.0,0.0,2021-10-08,,,,,,,,,,,,,,,,,,,,,,,
QLD,31.0,0.0,0.0,0.0,5.0,13.0,0.0,2021-10-08,,,,,,,,,,,,,,,,,,,,,,,
SA,4.0,0.0,1.0,0.0,4.0,2.0,0.0,2021-10-08,,,,,,,,,,,,,,,,,,,,,,,
NT,5.0,0.0,0.0,0.0,0.0,1.0,0.0,2021-10-08,,,,,,,,,,,,,,,,,,,,,,,
VIC,16823.0,31.0,0.0,1807.0,3103.0,0.0,7762.0,2021-10-08,,,,,,,,,,,,,,,,,,,,,,,
WA,15.0,0.0,0.0,0.0,0.0,14.0,0.0,2021-10-08,,,,,,,,,,,,,,,,,,,,,,,
Australia,24913.0,698.0,3.0,1826.0,7769.0,34.0,7861.0,2021-10-08,,,,,,,,,,,,,,,,,,,,,,,
TAS,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2021-10-08,,,,,,,,,,,,,,,,,,,,,,,
TAS,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2021-10-09,,,,,,,,,,,,,,,,,,,,,,,
Australia,24982.0,1149.0,5.0,1422.0,7439.0,35.0,8217.0,2021-10-09,,,,,,,,,,,,,,,,,,,,,,,
ACT,430.0,12.0,0.0,13.0,143.0,0.0,90.0,2021-10-09,,,,,,,,,,,,,,,,,,,,,,,
NSW,7296.0,580.0,1.0,0.0,4272.0,4.0,0.0,2021-10-09,,,,,,,,,,,,,,,,,,,,,,,
NT,6.0,0.0,1.0,0.0,0.0,2.0,0.0,2021-10-09,,,,,,,,,,,,,,,,,,,,,,,
QLD,31.0,0.0,3.0,0.0,3.0,14.0,0.0,2021-10-09,,,,,,,,,,,,,,,,,,,,,,,
SA,4.0,1.0,0.0,0.0,4.0,1.0,0.0,2021-10-09,,,,,,,,,,,,,,,,,,,,,,,
VIC,17199.0,556.0,0.0,1409.0,3016.0,0.0,8127.0,2021-10-09,,,,,,,,,,,,,,,,,,,,,,,
WA,15.0,0.0,0.0,0.0,0.0,14.0,0.0,2021-10-09,,,,,,,,,,,,,,,,,,,,,,,
WA,15.0,0.0,0.0,0.0,0.0,11.0,0.0,2021-10-10,,,,,,,,,,,,,,,,,,,,,,,
VIC,18342.0,23.0,1.0,1866.0,2611.0,1.0,9197.0,2021-10-10,,,,,,,,,,,,,,,,,,,,,,,
TAS,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-10-10,,,,,,,,,,,,,,,,,,,,,,,
SA,5.0,1.0,0.0,0.0,4.0,1.0,0.0,2021-10-10,,,,,,,,,,,,,,,,,,,,,,,
QLD,34.0,0.0,2.0,1.0,3.0,15.0,1.0,2021-10-10,,,,,,,,,,,,,,,,,,,,,,,
NT,6.0,0.0,0.0,0.0,0.0,2.0,0.0,2021-10-10,,,,,,,,,,,,,,,,,,,,,,,
NSW,6938.0,478.0,1.0,0.0,4082.0,4.0,0.0,2021-10-10,,,,,,,,,,,,,,,,,,,,,,,
ACT,433.0,16.0,0.0,14.0,134.0,0.0,91.0,2021-10-10,,,,,,,,,,,,,,,,,,,,,,,
Australia,25774.0,518.0,4.0,1881.0,6834.0,34.0,9289.0,2021-10-10,,,,,,,,,,,,,,,,,,,,,,,
Australia,26276.0,527.0,5.0,1615.0,6260.0,28.0,9996.0,2021-10-11,,,,,,,,,,,,,,,,,,,,,,,
VIC,19012.0,4.0,0.0,1608.0,2159.0,1.0,9910.0,2021-10-11,,,,,,,,,,,,,,,,,,,,,,,
TAS,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-10-11,,,,,,,,,,,,,,,,,,,,,,,
SA,8.0,2.0,1.0,0.0,5.0,2.0,0.0,2021-10-11,,,,,,,,,,,,,,,,,,,,,,,
QLD,34.0,0.0,1.0,0.0,2.0,15.0,1.0,2021-10-11,,,,,,,,,,,,,,,,,,,,,,,
NT,7.0,0.0,1.0,0.0,0.0,3.0,0.0,2021-10-11,,,,,,,,,,,,,,,,,,,,,,,
NSW,6747.0,496.0,2.0,0.0,3950.0,6.0,0.0,2021-10-11,,,,,,,,,,,,,,,,,,,,,,,
ACT,455.0,25.0,0.0,7.0,144.0,0.0,85.0,2021-10-11,,,,,,,,,,,,,,,,,,,,,,,
WA,12.0,0.0,0.0,0.0,0.0,1.0,0.0,2021-10-11,,,,,,,,,,,,,,,,,,,,,,,
TAS,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-10-12,,,,,,,,,,,,,,,,,,,,,,,
