Local Government Area,Total,Date
Aurukun Shire,33,2022-01-26
Balonne Shire,71,2022-01-26
Banana Shire,189,2022-01-26
Barcaldine Regional,16,2022-01-26
Barcoo Shire,2,2022-01-26
Blackall Tambo Regional,17,2022-01-26
Brisbane City,67268,2022-01-26
Bulloo Shire,3,2022-01-26
Bundaberg Regional,1624,2022-01-26
Burdekin Shire,377,2022-01-26
Burke Shire,4,2022-01-26
Cairns Regional,12314,2022-01-26
Carpentaria Shire,17,2022-01-26
Cassowary Coast Regional,1072,2022-01-26
Central Highlands Regional,539,2022-01-26
Charters Towers Regional,46,2022-01-26
Cherbourg Aboriginal Shire,127,2022-01-26
Cloncurry Shire,52,2022-01-26
Cook Shire,230,2022-01-26
Croydon Shire,1,2022-01-26
Diamantina Shire,2,2022-01-26
Doomadgee Aboriginal Shire,3,2022-01-26
Douglas Shire,957,2022-01-26
Etheridge Shire,4,2022-01-26
Flinders Shire,10,2022-01-26
Fraser Coast Regional,1985,2022-01-26
Gladstone Regional,973,2022-01-26
Gold Coast City,42671,2022-01-26
Goondiwindi Regional,244,2022-01-26
Gympie Regional,988,2022-01-26
Hinchinbrook Shire,158,2022-01-26
Hope Vale Aboriginal Shire,8,2022-01-26
Interstate/Other,10990,2022-01-26
Ipswich City,13021,2022-01-26
Isaac Regional,416,2022-01-26
Kowanyama Aboriginal Shire,20,2022-01-26
Livingstone Shire,833,2022-01-26
Lockhart River Aboriginal Shire,58,2022-01-26
Lockyer Valley Regional,1166,2022-01-26
Logan City,19516,2022-01-26
Longreach Regional,26,2022-01-26
Mackay Regional,3652,2022-01-26
Mapoon Aboriginal Shire,4,2022-01-26
Maranoa Regional,276,2022-01-26
Mareeba Shire,975,2022-01-26
McKinlay Shire,3,2022-01-26
Moreton Bay Regional,18146,2022-01-26
Mornington Shire,4,2022-01-26
Mount Isa City,132,2022-01-26
Murweh Shire,83,2022-01-26
Napranum Aboriginal Shire,17,2022-01-26
Noosa Shire,2735,2022-01-26
North Burnett Regional,150,2022-01-26
Northern Peninsula Area Regional,151,2022-01-26
Not Supplied,114711,2022-01-26
Palm Island Aboriginal Shire,169,2022-01-26
Paroo Shire,23,2022-01-26
Pormpuraaw Aboriginal Shire,1,2022-01-26
Quilpie Shire,9,2022-01-26
Redland City,6218,2022-01-26
Richmond Shire,3,2022-01-26
Rockhampton Regional,1706,2022-01-26
Scenic Rim Regional,981,2022-01-26
Somerset Regional,701,2022-01-26
South Burnett Regional,531,2022-01-26
Southern Downs Regional,830,2022-01-26
Sunshine Coast Regional,15028,2022-01-26
Tablelands Regional,727,2022-01-26
Toowoomba Regional,3665,2022-01-26
Torres Shire,197,2022-01-26
Torres Strait Island Regional,108,2022-01-26
Townsville City,5536,2022-01-26
Weipa Town,124,2022-01-26
Western Downs Regional,676,2022-01-26
Whitsunday Regional,1654,2022-01-26
Winton Shire,8,2022-01-26
Woorabinda Aboriginal Shire,7,2022-01-26
Wujal Wujal Aboriginal Shire,6,2022-01-26
Yarrabah Aboriginal Shire,338,2022-01-26
Total,358336,2022-01-26
