Local Government Area,Total cases,Date
Aurukun Shire,136,2022-11-10
Balonne Shire,457,2022-11-10
Banana Shire,809,2022-11-10
Barcaldine Regional,164,2022-11-10
Barcoo Shire,4,2022-11-10
Blackall Tambo Regional,83,2022-11-10
Boulia Shire,14,2022-11-10
Brisbane City,168497,2022-11-10
Bulloo Shire,12,2022-11-10
Bundaberg Regional,10497,2022-11-10
Burdekin Shire,1466,2022-11-10
Burke Shire,28,2022-11-10
Cairns Regional,48930,2022-11-10
Carpentaria Shire,170,2022-11-10
Cassowary Coast Regional,5723,2022-11-10
Central Highlands Regional,2172,2022-11-10
Charters Towers Regional,1189,2022-11-10
Cherbourg Aboriginal Shire,391,2022-11-10
Cloncurry Shire,183,2022-11-10
Cook Shire,1164,2022-11-10
Croydon Shire,23,2022-11-10
Diamantina Shire,32,2022-11-10
Doomadgee Aboriginal Shire,175,2022-11-10
Douglas Shire,3033,2022-11-10
Etheridge Shire,68,2022-11-10
Flinders Shire,181,2022-11-10
Fraser Coast Regional,12418,2022-11-10
Gladstone Regional,4822,2022-11-10
Gold Coast City,92424,2022-11-10
Goondiwindi Regional,791,2022-11-10
Gympie Regional,4152,2022-11-10
Hinchinbrook Shire,618,2022-11-10
Hope Vale Aboriginal Shire,339,2022-11-10
Interstate/Other,21028,2022-11-10
Ipswich City,33308,2022-11-10
Isaac Regional,1087,2022-11-10
Kowanyama Aboriginal Shire,196,2022-11-10
Livingstone Shire,2989,2022-11-10
Lockhart River Aboriginal Shire,157,2022-11-10
Lockyer Valley Regional,3285,2022-11-10
Logan City,43554,2022-11-10
Longreach Regional,154,2022-11-10
Mackay Regional,13300,2022-11-10
Mapoon Aboriginal Shire,82,2022-11-10
Maranoa Regional,1208,2022-11-10
Mareeba Shire,5533,2022-11-10
McKinlay Shire,22,2022-11-10
Moreton Bay Regional,61528,2022-11-10
Mornington Shire,136,2022-11-10
Mount Isa City,2051,2022-11-10
Murweh Shire,349,2022-11-10
Napranum Aboriginal Shire,277,2022-11-10
Noosa Shire,6592,2022-11-10
North Burnett Regional,717,2022-11-10
Northern Peninsula Area Regional,774,2022-11-10
Not Supplied,920632,2022-11-10
Palm Island Aboriginal Shire,763,2022-11-10
Paroo Shire,94,2022-11-10
Pormpuraaw Aboriginal Shire,228,2022-11-10
Quilpie Shire,46,2022-11-10
Redland City,18618,2022-11-10
Richmond Shire,51,2022-11-10
Rockhampton Regional,6977,2022-11-10
Scenic Rim Regional,3169,2022-11-10
Somerset Regional,1985,2022-11-10
South Burnett Regional,1736,2022-11-10
Southern Downs Regional,3200,2022-11-10
Sunshine Coast Regional,43147,2022-11-10
Tablelands Regional,4798,2022-11-10
Toowoomba Regional,18505,2022-11-10
Torres Shire,1366,2022-11-10
Torres Strait Island Regional,1050,2022-11-10
Townsville City,28910,2022-11-10
Weipa Town,1507,2022-11-10
Western Downs Regional,1737,2022-11-10
Whitsunday Regional,3215,2022-11-10
Winton Shire,46,2022-11-10
Woorabinda Aboriginal Shire,331,2022-11-10
Wujal Wujal Aboriginal Shire,111,2022-11-10
Yarrabah Aboriginal Shire,1271,2022-11-10
Total cases,1622985,2022-11-10
